consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2024-05-07 16:12:29",12927,663a05614a1819.83408420,10,1,phishing,0,100,"Delete this email,","Based upon the link/attachment in the email,,","Curiosity Effect","GPT-3 Temp0.3_TopP_0.8","Tue May 07 2024 16:12:16 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:23 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:25 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:28 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:12:40",12928,663a05614a1819.83408420,1,2,genuine,100,100,"Read the email and do nothing,Respond to this email,Click link/ Open attachment,","Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,"Tue May 07 2024 16:12:33 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:34 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:37 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:39 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:13:00",12929,663a05614a1819.83408420,7,3,genuine,100,100,"Respond to this email,","Based upon body of the email,,",NA,NA,"Tue May 07 2024 16:12:53 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:54 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:56 GMT+0530 (India Standard Time)","Tue May 07 2024 16:12:59 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:13:17",12930,663a05614a1819.83408420,5,4,genuine,100,100,"Respond to this email,Click link/ Open attachment,","Based upon body of the email,,",NA,NA,"Tue May 07 2024 16:13:05 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:07 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:09 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:13 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:13:30",12931,663a05614a1819.83408420,8,5,phishing,0,100,"Move to spam,Delete this email,Report this email,","Based upon body of the email,,","Hyperbolic Discounting","GPT-3 Temp0.3_TopP_0.8","Tue May 07 2024 16:13:23 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:24 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:26 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:29 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:13:46",12932,663a05614a1819.83408420,9,6,genuine,100,100,"Respond to this email,","Based upon body of the email,,",NA,NA,"Tue May 07 2024 16:13:37 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:40 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:42 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:45 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:14:03",12933,663a05614a1819.83408420,4,7,genuine,100,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,","Halo Effect","GPT-3 Temp0.3_TopP_0.8","Tue May 07 2024 16:13:50 GMT+0530 (India Standard Time)","Tue May 07 2024 16:13:53 GMT+0530 (India Standard Time)","Tue May 07 2024 16:14:00 GMT+0530 (India Standard Time)","Tue May 07 2024 16:14:03 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:14:20",12934,663a05614a1819.83408420,2,8,genuine,100,100,"Respond to this email,Click link/ Open attachment,","Based upon body of the email,,","Recency Effect","GPT-3 Temp0.3_TopP_0.8","Tue May 07 2024 16:14:08 GMT+0530 (India Standard Time)","Tue May 07 2024 16:14:09 GMT+0530 (India Standard Time)","Tue May 07 2024 16:14:11 GMT+0530 (India Standard Time)","Tue May 07 2024 16:14:15 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:14:49",12935,663a05614a1819.83408420,3,9,genuine,100,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Tue May 07 2024 16:14:34 GMT+0530 (India Standard Time)","Tue May 07 2024 16:14:35 GMT+0530 (India Standard Time)","Tue May 07 2024 16:14:38 GMT+0530 (India Standard Time)","Tue May 07 2024 16:14:47 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-05-07 16:15:09",12936,663a05614a1819.83408420,6,10,genuine,100,100,"Respond to this email,Click link/ Open attachment,","Based upon body of the email,,","Authority Bias","GPT-3 Temp0.3_TopP_0.8","Tue May 07 2024 16:15:00 GMT+0530 (India Standard Time)","Tue May 07 2024 16:15:03 GMT+0530 (India Standard Time)","Tue May 07 2024 16:15:05 GMT+0530 (India Standard Time)","Tue May 07 2024 16:15:07 GMT+0530 (India Standard Time)",0,0,"Not used",,
