id,quesno,ques_counter,ans,,ansval,,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
6634a2adae73d2.92527733,8,1,phishing,50,0,Phishing,100,"Delete this email,Report this email,","Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",Hyperbolic Discounting,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:11:54 GMT+0530 (India Standard Time),Fri May 03 2024 14:11:55 GMT+0530 (India Standard Time),Fri May 03 2024 14:12:08 GMT+0530 (India Standard Time),Fri May 03 2024 14:12:18 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,6,2,genuine,-50,100,Phishing,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",Authority Bias,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:12:45 GMT+0530 (India Standard Time),Fri May 03 2024 14:12:47 GMT+0530 (India Standard Time),Fri May 03 2024 14:12:59 GMT+0530 (India Standard Time),Fri May 03 2024 14:13:05 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,1,3,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Fri May 03 2024 14:13:23 GMT+0530 (India Standard Time),Fri May 03 2024 14:13:24 GMT+0530 (India Standard Time),Fri May 03 2024 14:13:55 GMT+0530 (India Standard Time),Fri May 03 2024 14:13:58 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,7,4,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Fri May 03 2024 14:14:26 GMT+0530 (India Standard Time),Fri May 03 2024 14:14:33 GMT+0530 (India Standard Time),Fri May 03 2024 14:14:48 GMT+0530 (India Standard Time),Fri May 03 2024 14:14:51 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,9,5,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Fri May 03 2024 14:15:23 GMT+0530 (India Standard Time),Fri May 03 2024 14:15:24 GMT+0530 (India Standard Time),Fri May 03 2024 14:15:31 GMT+0530 (India Standard Time),Fri May 03 2024 14:15:34 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,4,6,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon the link/attachment in the email,,",Halo Effect,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:15:48 GMT+0530 (India Standard Time),Fri May 03 2024 14:15:49 GMT+0530 (India Standard Time),Fri May 03 2024 14:15:52 GMT+0530 (India Standard Time),Fri May 03 2024 14:16:10 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,10,7,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon the link/attachment in the email,,",Curiosity Effect,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:16:38 GMT+0530 (India Standard Time),Fri May 03 2024 14:16:39 GMT+0530 (India Standard Time),Fri May 03 2024 14:16:36 GMT+0530 (India Standard Time),Fri May 03 2024 14:16:48 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,5,8,phishing,-50,0,Genuine,100,"Move to spam,","Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Fri May 03 2024 14:17:56 GMT+0530 (India Standard Time),Fri May 03 2024 14:18:09 GMT+0530 (India Standard Time),Fri May 03 2024 14:17:45 GMT+0530 (India Standard Time),Fri May 03 2024 14:17:47 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,2,9,genuine,-50,100,Phishing,100,"Respond to this email,Click link/ Open attachment,","Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",Recency Effect,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:18:18 GMT+0530 (India Standard Time),Fri May 03 2024 14:18:19 GMT+0530 (India Standard Time),Fri May 03 2024 14:18:39 GMT+0530 (India Standard Time),Fri May 03 2024 14:18:44 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,3,10,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Fri May 03 2024 14:18:53 GMT+0530 (India Standard Time),Fri May 03 2024 14:18:53 GMT+0530 (India Standard Time),Fri May 03 2024 14:19:13 GMT+0530 (India Standard Time),Fri May 03 2024 14:19:20 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,15,11,genuine,50,100,Genuine,100,"Click link/ Open attachment,","Based upon the link/attachment in the email,,",NA,NA,Fri May 03 2024 14:19:48 GMT+0530 (India Standard Time),Fri May 03 2024 14:19:47 GMT+0530 (India Standard Time),Fri May 03 2024 14:19:42 GMT+0530 (India Standard Time),Fri May 03 2024 14:19:57 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,13,12,phishing,-50,0,Genuine,100,"Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the link/attachment in the email,,",NA,NA,Fri May 03 2024 14:20:17 GMT+0530 (India Standard Time),Fri May 03 2024 14:20:18 GMT+0530 (India Standard Time),Fri May 03 2024 14:20:15 GMT+0530 (India Standard Time),Fri May 03 2024 14:20:23 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,17,13,genuine,-50,100,Phishing,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,",Authority Bias,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:20:45 GMT+0530 (India Standard Time),Fri May 03 2024 14:20:46 GMT+0530 (India Standard Time),Fri May 03 2024 14:20:59 GMT+0530 (India Standard Time),Fri May 03 2024 14:21:03 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,24,14,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,Fri May 03 2024 14:22:00 GMT+0530 (India Standard Time),Fri May 03 2024 14:21:25 GMT+0530 (India Standard Time),Fri May 03 2024 14:22:03 GMT+0530 (India Standard Time),Fri May 03 2024 14:22:22 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,14,15,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Fri May 03 2024 14:22:44 GMT+0530 (India Standard Time),Fri May 03 2024 14:22:45 GMT+0530 (India Standard Time),Fri May 03 2024 14:22:53 GMT+0530 (India Standard Time),Fri May 03 2024 14:22:56 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,11,16,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Fri May 03 2024 14:23:05 GMT+0530 (India Standard Time),Fri May 03 2024 14:23:07 GMT+0530 (India Standard Time),Fri May 03 2024 14:23:14 GMT+0530 (India Standard Time),Fri May 03 2024 14:23:11 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,31,17,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon body of the email,,",Curiosity Effect,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:23:41 GMT+0530 (India Standard Time),Fri May 03 2024 14:23:42 GMT+0530 (India Standard Time),Fri May 03 2024 14:23:45 GMT+0530 (India Standard Time),Fri May 03 2024 14:23:51 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,26,18,genuine,50,100,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Fri May 03 2024 14:24:11 GMT+0530 (India Standard Time),Fri May 03 2024 14:24:12 GMT+0530 (India Standard Time),Fri May 03 2024 14:24:16 GMT+0530 (India Standard Time),Fri May 03 2024 14:24:31 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,20,20,genuine,-50,100,Phishing,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,",Authority Bias,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:25:34 GMT+0530 (India Standard Time),Fri May 03 2024 14:25:35 GMT+0530 (India Standard Time),Fri May 03 2024 14:25:39 GMT+0530 (India Standard Time),Fri May 03 2024 14:25:44 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,29,22,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon body of the email,Based upon the link/attachment in the email,,",Hyperbolic Discounting,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:26:42 GMT+0530 (India Standard Time),Fri May 03 2024 14:26:44 GMT+0530 (India Standard Time),Fri May 03 2024 14:26:47 GMT+0530 (India Standard Time),Fri May 03 2024 14:26:51 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,21,23,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon the link/attachment in the email,,",Recency Effect,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:27:10 GMT+0530 (India Standard Time),Fri May 03 2024 14:27:05 GMT+0530 (India Standard Time),Fri May 03 2024 14:27:18 GMT+0530 (India Standard Time),Fri May 03 2024 14:27:21 GMT+0530 (India Standard Time),0,0,Not used,,
6634a2adae73d2.92527733,30,24,genuine,-50,100,Phishing,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the link/attachment in the email,,",Halo Effect,GPT-3 Temp0.3_TopP_0.8,Fri May 03 2024 14:27:36 GMT+0530 (India Standard Time),Fri May 03 2024 14:27:37 GMT+0530 (India Standard Time),Fri May 03 2024 14:27:43 GMT+0530 (India Standard Time),Fri May 03 2024 14:27:46 GMT+0530 (India Standard Time),0,0,Not used,,
