id,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
663c726fba7a57.06289122,5,1,phishing,-50,0,Genuine,100,"Read the email and do nothing,Move to spam,","Based upon body of the email,,",NA,NA,Thu May 09 2024 12:25:29 GMT+0530 (India Standard Time),Thu May 09 2024 12:25:36 GMT+0530 (India Standard Time),Thu May 09 2024 12:25:47 GMT+0530 (India Standard Time),Thu May 09 2024 12:25:55 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,1,2,genuine,50,100,Genuine,100,"Read the email and do nothing,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 09 2024 12:26:36 GMT+0530 (India Standard Time),Thu May 09 2024 12:26:41 GMT+0530 (India Standard Time),Thu May 09 2024 12:26:58 GMT+0530 (India Standard Time),Thu May 09 2024 12:27:07 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,10,3,phishing,50,0,Phishing,100,"Move to spam,","Based upon the subject line in the email,,",Curiosity Effect,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:27:39 GMT+0530 (India Standard Time),Thu May 09 2024 12:27:53 GMT+0530 (India Standard Time),Thu May 09 2024 12:28:07 GMT+0530 (India Standard Time),Thu May 09 2024 12:28:18 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,7,4,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 09 2024 12:29:23 GMT+0530 (India Standard Time),Thu May 09 2024 12:29:30 GMT+0530 (India Standard Time),Thu May 09 2024 12:29:43 GMT+0530 (India Standard Time),Thu May 09 2024 12:29:50 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,6,5,phishing,27,23,Phishing,100,"Read the email and do nothing,","Based upon senders email address,,",Authority Bias,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:31:00 GMT+0530 (India Standard Time),Thu May 09 2024 12:31:02 GMT+0530 (India Standard Time),Thu May 09 2024 12:31:05 GMT+0530 (India Standard Time),Thu May 09 2024 12:31:09 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,8,6,phishing,50,0,Phishing,100,"Move to spam,Report this email,","Based upon senders email address,Based upon the subject line in the email,,",Hyperbolic Discounting,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:31:20 GMT+0530 (India Standard Time),Thu May 09 2024 12:31:21 GMT+0530 (India Standard Time),Thu May 09 2024 12:31:29 GMT+0530 (India Standard Time),Thu May 09 2024 12:31:32 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,2,7,genuine,-50,100,Phishing,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,Based upon body of the email,Based upon the link/attachment in the email,,",Recency Effect,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:32:41 GMT+0530 (India Standard Time),Thu May 09 2024 12:32:47 GMT+0530 (India Standard Time),Thu May 09 2024 12:32:59 GMT+0530 (India Standard Time),Thu May 09 2024 12:33:05 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,9,8,phishing,-50,0,Genuine,100,"Read the email and do nothing,","Based upon body of the email,,",NA,NA,Thu May 09 2024 12:33:54 GMT+0530 (India Standard Time),Thu May 09 2024 12:33:55 GMT+0530 (India Standard Time),Thu May 09 2024 12:33:57 GMT+0530 (India Standard Time),Thu May 09 2024 12:34:03 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,4,9,phishing,50,0,Phishing,100,"Read the email and do nothing,Move to spam,Report this email,","Based upon senders email address,,",Halo Effect,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:35:05 GMT+0530 (India Standard Time),Thu May 09 2024 12:35:07 GMT+0530 (India Standard Time),Thu May 09 2024 12:35:11 GMT+0530 (India Standard Time),Thu May 09 2024 12:35:17 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,3,10,genuine,50,100,Genuine,100,"Read the email and do nothing,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 09 2024 12:35:51 GMT+0530 (India Standard Time),Thu May 09 2024 12:35:52 GMT+0530 (India Standard Time),Thu May 09 2024 12:36:05 GMT+0530 (India Standard Time),Thu May 09 2024 12:36:15 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,18,11,phishing,50,0,Phishing,100,"Move to spam,Report this email,","Based upon the subject line in the email,Based upon body of the email,,",Curiosity Effect,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:36:47 GMT+0530 (India Standard Time),Thu May 09 2024 12:36:49 GMT+0530 (India Standard Time),Thu May 09 2024 12:36:56 GMT+0530 (India Standard Time),Thu May 09 2024 12:37:04 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,26,12,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 09 2024 12:38:06 GMT+0530 (India Standard Time),Thu May 09 2024 12:38:07 GMT+0530 (India Standard Time),Thu May 09 2024 12:38:18 GMT+0530 (India Standard Time),Thu May 09 2024 12:38:27 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,14,13,genuine,50,100,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,,",NA,NA,Thu May 09 2024 12:39:15 GMT+0530 (India Standard Time),Thu May 09 2024 12:39:16 GMT+0530 (India Standard Time),Thu May 09 2024 12:39:34 GMT+0530 (India Standard Time),Thu May 09 2024 12:39:48 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,21,14,genuine,-50,100,Phishing,81,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",Recency Effect,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:40:21 GMT+0530 (India Standard Time),Thu May 09 2024 12:41:07 GMT+0530 (India Standard Time),Thu May 09 2024 12:41:03 GMT+0530 (India Standard Time),Thu May 09 2024 12:40:46 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,17,16,phishing,27,23,Phishing,76,"Click link/ Open attachment,","Based upon senders email address,Based upon the date in the email,Based upon body of the email,,",Authority Bias,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:43:06 GMT+0530 (India Standard Time),Thu May 09 2024 12:43:08 GMT+0530 (India Standard Time),Thu May 09 2024 12:43:02 GMT+0530 (India Standard Time),Thu May 09 2024 12:43:21 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,30,17,genuine,-23,73,Phishing,74,"Click link/ Open attachment,","Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",Halo Effect,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:44:01 GMT+0530 (India Standard Time),Thu May 09 2024 12:44:05 GMT+0530 (India Standard Time),Thu May 09 2024 12:44:23 GMT+0530 (India Standard Time),Thu May 09 2024 12:44:25 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,12,18,genuine,25,75,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Thu May 09 2024 12:45:41 GMT+0530 (India Standard Time),Thu May 09 2024 12:45:44 GMT+0530 (India Standard Time),Thu May 09 2024 12:46:00 GMT+0530 (India Standard Time),Thu May 09 2024 12:46:08 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,15,19,genuine,50,100,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Thu May 09 2024 12:46:48 GMT+0530 (India Standard Time),Thu May 09 2024 12:46:59 GMT+0530 (India Standard Time),Thu May 09 2024 12:47:29 GMT+0530 (India Standard Time),Thu May 09 2024 12:47:33 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,20,20,genuine,-50,100,Phishing,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",Authority Bias,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:47:46 GMT+0530 (India Standard Time),Thu May 09 2024 12:47:47 GMT+0530 (India Standard Time),Thu May 09 2024 12:48:00 GMT+0530 (India Standard Time),Thu May 09 2024 12:48:15 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,33,21,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon body of the email,,",Halo Effect,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:48:29 GMT+0530 (India Standard Time),Thu May 09 2024 12:48:31 GMT+0530 (India Standard Time),Thu May 09 2024 12:48:35 GMT+0530 (India Standard Time),Thu May 09 2024 12:48:46 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,27,22,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Thu May 09 2024 12:49:36 GMT+0530 (India Standard Time),Thu May 09 2024 12:49:43 GMT+0530 (India Standard Time),Thu May 09 2024 12:49:49 GMT+0530 (India Standard Time),Thu May 09 2024 12:49:55 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,31,23,phishing,50,0,Phishing,100,"Move to spam,","Based upon senders email address,Based upon the subject line in the email,,",Curiosity Effect,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:50:20 GMT+0530 (India Standard Time),Thu May 09 2024 12:50:21 GMT+0530 (India Standard Time),Thu May 09 2024 12:50:28 GMT+0530 (India Standard Time),Thu May 09 2024 12:50:38 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,29,24,phishing,50,0,Phishing,100,"Read the email and do nothing,Move to spam,","Based upon the subject line in the email,Based upon body of the email,,",Hyperbolic Discounting,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:50:54 GMT+0530 (India Standard Time),Thu May 09 2024 12:50:59 GMT+0530 (India Standard Time),Thu May 09 2024 12:51:02 GMT+0530 (India Standard Time),Thu May 09 2024 12:51:09 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,19,25,genuine,-25,75,Phishing,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,",Hyperbolic Discounting,GPT-3 Temp0.3_TopP_0.8,Thu May 09 2024 12:51:39 GMT+0530 (India Standard Time),Thu May 09 2024 12:51:40 GMT+0530 (India Standard Time),Thu May 09 2024 12:51:58 GMT+0530 (India Standard Time),Thu May 09 2024 12:52:02 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,23,26,genuine,5,55,Genuine,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Thu May 09 2024 12:52:41 GMT+0530 (India Standard Time),Thu May 09 2024 12:52:40 GMT+0530 (India Standard Time),Thu May 09 2024 12:52:29 GMT+0530 (India Standard Time),Thu May 09 2024 12:52:33 GMT+0530 (India Standard Time),0,0,Not used,,
663c726fba7a57.06289122,25,27,phishing,-50,0,Genuine,100,"Read the email and do nothing,Move to spam,","Based upon senders email address,Based upon body of the email,,",NA,NA,Thu May 09 2024 12:52:48 GMT+0530 (India Standard Time),Thu May 09 2024 12:52:49 GMT+0530 (India Standard Time),Thu May 09 2024 12:53:04 GMT+0530 (India Standard Time),Thu May 09 2024 12:53:10 GMT+0530 (India Standard Time),0,0,Not used,,
