id,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
663b2e4a6f4268.45583339,7,1,genuine,50,100,Genuine,97,"Respond to this email,","Based upon body of the email,,",NA,NA,Wed May 08 2024 13:19:19 GMT+0530 (India Standard Time),Wed May 08 2024 13:19:22 GMT+0530 (India Standard Time),Wed May 08 2024 13:19:25 GMT+0530 (India Standard Time),Wed May 08 2024 13:19:27 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,6,2,phishing,23,27,Phishing,75,"Read the email and do nothing,","Based upon body of the email,,",Authority Bias,GPT-3 Temp0.3_TopP_0.8,Wed May 08 2024 13:20:50 GMT+0530 (India Standard Time),Wed May 08 2024 13:20:42 GMT+0530 (India Standard Time),Wed May 08 2024 13:20:58 GMT+0530 (India Standard Time),Wed May 08 2024 13:21:02 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,3,3,genuine,50,100,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,,",NA,NA,Wed May 08 2024 13:21:24 GMT+0530 (India Standard Time),Wed May 08 2024 13:21:26 GMT+0530 (India Standard Time),Wed May 08 2024 13:21:29 GMT+0530 (India Standard Time),Wed May 08 2024 13:21:32 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,5,4,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Wed May 08 2024 13:21:46 GMT+0530 (India Standard Time),Wed May 08 2024 13:21:48 GMT+0530 (India Standard Time),Wed May 08 2024 13:22:11 GMT+0530 (India Standard Time),Wed May 08 2024 13:22:20 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,9,5,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon body of the email,,",NA,NA,Wed May 08 2024 13:22:34 GMT+0530 (India Standard Time),Wed May 08 2024 13:22:35 GMT+0530 (India Standard Time),Wed May 08 2024 13:22:37 GMT+0530 (India Standard Time),Wed May 08 2024 13:22:41 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,2,6,phishing,50,0,Phishing,100,"Report this email,","Based upon the link/attachment in the email,,",Recency Effect,GPT-3 Temp0.3_TopP_0.8,Wed May 08 2024 13:22:56 GMT+0530 (India Standard Time),Wed May 08 2024 13:22:57 GMT+0530 (India Standard Time),Wed May 08 2024 13:23:02 GMT+0530 (India Standard Time),Wed May 08 2024 13:23:06 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,10,7,phishing,50,0,Phishing,100,"Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",Curiosity Effect,GPT-3 Temp0.3_TopP_0.8,Wed May 08 2024 13:23:20 GMT+0530 (India Standard Time),Wed May 08 2024 13:23:22 GMT+0530 (India Standard Time),Wed May 08 2024 13:23:32 GMT+0530 (India Standard Time),Wed May 08 2024 13:23:36 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,1,8,genuine,50,100,Genuine,100,"Read the email and do nothing,Respond to this email,","Based upon senders email address,,",NA,NA,Wed May 08 2024 13:23:47 GMT+0530 (India Standard Time),Wed May 08 2024 13:23:48 GMT+0530 (India Standard Time),Wed May 08 2024 13:23:56 GMT+0530 (India Standard Time),Wed May 08 2024 13:24:01 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,4,9,phishing,50,0,Phishing,100,"Delete this email,","Based upon body of the email,,",Halo Effect,GPT-3 Temp0.3_TopP_0.8,Wed May 08 2024 13:24:22 GMT+0530 (India Standard Time),Wed May 08 2024 13:24:24 GMT+0530 (India Standard Time),Wed May 08 2024 13:24:26 GMT+0530 (India Standard Time),Wed May 08 2024 13:24:28 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,8,10,phishing,50,0,Phishing,100,"Delete this email,","Based upon body of the email,,",Hyperbolic Discounting,GPT-3 Temp0.3_TopP_0.8,Wed May 08 2024 13:24:39 GMT+0530 (India Standard Time),Wed May 08 2024 13:24:40 GMT+0530 (India Standard Time),Wed May 08 2024 13:24:42 GMT+0530 (India Standard Time),Wed May 08 2024 13:24:55 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,33,11,phishing,50,0,Phishing,100,"Report this email,","Based upon senders email address,Based upon body of the email,,",Halo Effect,GPT-3 Temp0.3_TopP_0.8,Wed May 08 2024 13:25:14 GMT+0530 (India Standard Time),Wed May 08 2024 13:25:15 GMT+0530 (India Standard Time),Wed May 08 2024 13:25:20 GMT+0530 (India Standard Time),Wed May 08 2024 13:25:22 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,27,12,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Wed May 08 2024 13:25:45 GMT+0530 (India Standard Time),Wed May 08 2024 13:25:47 GMT+0530 (India Standard Time),Wed May 08 2024 13:25:53 GMT+0530 (India Standard Time),Wed May 08 2024 13:25:54 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,25,14,genuine,50,100,Genuine,100,"Respond to this email,","Based upon body of the email,,",NA,NA,Wed May 08 2024 13:27:25 GMT+0530 (India Standard Time),Wed May 08 2024 13:27:26 GMT+0530 (India Standard Time),Wed May 08 2024 13:27:28 GMT+0530 (India Standard Time),Wed May 08 2024 13:27:32 GMT+0530 (India Standard Time),0,0,Not used,,
663b2e4a6f4268.45583339,23,15,genuine,50,100,Genuine,100,"Read the email and do nothing,Respond to this email,","Based upon the date in the email,Based upon body of the email,,",NA,NA,Wed May 08 2024 13:27:41 GMT+0530 (India Standard Time),Wed May 08 2024 13:27:42 GMT+0530 (India Standard Time),Wed May 08 2024 13:27:47 GMT+0530 (India Standard Time),Wed May 08 2024 13:27:52 GMT+0530 (India Standard Time),0,0,Not used,,
