consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2023-12-01 14:07:50",11372,656994c8a7e5f5.87437360,42,43,genuine,100,65,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:07:42 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:43 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:48 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:50 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:07:30",11371,656994c8a7e5f5.87437360,43,42,phishing,0,98,"Read the email and do nothing,","Based upon body of the email,,","Halo Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 14:07:26 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:27 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:29 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:30 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:07:15",11370,656994c8a7e5f5.87437360,40,41,genuine,51,67,"Read the email and do nothing,","Based upon the subject line in the email,,",NA,NA,"Fri Dec 01 2023 14:07:10 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:11 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:12 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:07:14 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:06:05",11369,656994c8a7e5f5.87437360,34,40,genuine,100,76,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,,",NA,NA,"Fri Dec 01 2023 14:05:58 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:59 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:06:01 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:06:04 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:05:46",11368,656994c8a7e5f5.87437360,36,39,genuine,100,70,"Respond to this email,","Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:05:39 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:40 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:43 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:45 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:05:29",11367,656994c8a7e5f5.87437360,37,38,phishing,0,100,"Delete this email,","Based upon the subject line in the email,,","Hyperbolic Discounting","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 14:05:19 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:20 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:27 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:25 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:05:14",11366,656994c8a7e5f5.87437360,41,37,phishing,0,100,"Read the email and do nothing,","Based upon body of the email,,","Curiosity Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 14:05:08 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:09 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:10 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:05:12 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:05:00",11365,656994c8a7e5f5.87437360,35,36,genuine,69,73,"Read the email and do nothing,Click link/ Open attachment,","Based upon body of the email,,","Authority Bias","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 14:04:47 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:54 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:56 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:59 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:04:34",11364,656994c8a7e5f5.87437360,38,35,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:04:24 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:25 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:28 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:33 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:04:16",11363,656994c8a7e5f5.87437360,39,34,phishing,0,86,"Read the email and do nothing,","Based upon body of the email,,","Recency Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 14:04:03 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:05 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:13 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:04:15 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:03:50",11362,656994c8a7e5f5.87437360,15,33,phishing,22,58,"Read the email and do nothing,","Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:03:38 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:03:49 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:03:41 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:03:43 GMT+0530 (India Standard Time)",0,0,"Not used",,
