id,quesno,ques_counter,ans,,ansval,,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
6630844d0af120.26583107,7,1,genuine,37,87,Genuine,86,"Respond to this email,","Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:13:57 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:13:59 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:14:08 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:14:16 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,10,2,phishing,50,0,Phishing,100,"Move to spam,","Based upon body of the email,Based upon the link/attachment in the email,,",Curiosity Effect,Human,Tue Apr 30 2024 11:14:34 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:14:37 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:14:55 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:15:01 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,1,3,genuine,50,100,Genuine,100,"Read the email and do nothing,Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:15:38 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:15:40 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:15:46 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:16:03 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,9,4,genuine,29,79,Genuine,70,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,Tue Apr 30 2024 11:16:51 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:16:52 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:16:58 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:17:07 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,4,5,phishing,50,0,Phishing,100,"Move to spam,Report this email,","Based upon senders email address,Based upon body of the email,,",Halo Effect,Human,Tue Apr 30 2024 11:17:26 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:17:28 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:17:35 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:17:40 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,5,6,genuine,50,100,Genuine,94,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Tue Apr 30 2024 11:18:00 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:18:02 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:18:07 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:18:11 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,8,7,phishing,50,0,Phishing,99,"Move to spam,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",Hyperbolic Discounting,Human,Tue Apr 30 2024 11:18:43 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:18:45 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:18:52 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:19:03 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,3,8,genuine,50,100,Genuine,100,"Click link/ Open attachment,","Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,Tue Apr 30 2024 11:19:17 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:19:19 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:19:29 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:19:34 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,2,9,phishing,50,0,Phishing,92,"Move to spam,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",Recency Effect,Human,Tue Apr 30 2024 11:19:55 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:19:57 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:20:07 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:20:13 GMT+0530 (India Standard Time),0,0,Not used,,
6630844d0af120.26583107,6,10,phishing,50,0,Phishing,90,"Move to spam,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",Authority Bias,Human,Tue Apr 30 2024 11:21:00 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:21:02 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:21:07 GMT+0530 (India Standard Time),Tue Apr 30 2024 11:21:11 GMT+0530 (India Standard Time),0,0,Not used,,
