id,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
66333548cb4856.36999253,10,1,phishing,15,35,Phishing,71,"Read the email and do nothing,Move to spam,","Based upon senders email address,Based upon the subject line in the email,,",Curiosity Effect,Human,Thu May 02 2024 12:13:04 GMT+0530 (India Standard Time),Thu May 02 2024 12:13:07 GMT+0530 (India Standard Time),Thu May 02 2024 12:13:34 GMT+0530 (India Standard Time),Thu May 02 2024 12:13:52 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,7,2,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Thu May 02 2024 12:14:13 GMT+0530 (India Standard Time),Thu May 02 2024 12:14:15 GMT+0530 (India Standard Time),Thu May 02 2024 12:14:58 GMT+0530 (India Standard Time),Thu May 02 2024 12:15:11 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,8,3,phishing,50,0,Phishing,100,"Report this email,","Based upon body of the email,Based upon some other reason,words like congratulations, lottery and prize money,",Hyperbolic Discounting,Human,Thu May 02 2024 12:15:21 GMT+0530 (India Standard Time),Thu May 02 2024 12:15:38 GMT+0530 (India Standard Time),Thu May 02 2024 12:16:15 GMT+0530 (India Standard Time),Thu May 02 2024 12:15:56 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,9,4,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,Based upon some other reason,a verified domain name ,",NA,NA,Thu May 02 2024 12:17:02 GMT+0530 (India Standard Time),Thu May 02 2024 12:17:04 GMT+0530 (India Standard Time),Thu May 02 2024 12:17:27 GMT+0530 (India Standard Time),Thu May 02 2024 12:17:26 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,3,5,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon some other reason,email comes from a verified platform google classroom, where a person knows whether he has registered or not.,",NA,NA,Thu May 02 2024 12:18:30 GMT+0530 (India Standard Time),Thu May 02 2024 12:19:58 GMT+0530 (India Standard Time),Thu May 02 2024 12:19:01 GMT+0530 (India Standard Time),Thu May 02 2024 12:18:59 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,1,6,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Thu May 02 2024 12:20:16 GMT+0530 (India Standard Time),Thu May 02 2024 12:20:18 GMT+0530 (India Standard Time),Thu May 02 2024 12:20:39 GMT+0530 (India Standard Time),Thu May 02 2024 12:20:43 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,2,7,phishing,50,0,Phishing,75,"Read the email and do nothing,","Based upon the subject line in the email,Based upon some other reason,Subject suggests the mil comes from an external id,",Recency Effect,Human,Thu May 02 2024 12:21:09 GMT+0530 (India Standard Time),Thu May 02 2024 12:21:43 GMT+0530 (India Standard Time),Thu May 02 2024 12:21:50 GMT+0530 (India Standard Time),Thu May 02 2024 12:22:27 GMT+0530 (India Standard Time),0,0,Not used,,
66333548cb4856.36999253,6,8,genuine,-50,100,Phishing,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon some other reason,The copyrights section at the end of the mail,",Authority Bias,Human,Thu May 02 2024 12:22:53 GMT+0530 (India Standard Time),Thu May 02 2024 12:22:54 GMT+0530 (India Standard Time),Thu May 02 2024 12:23:15 GMT+0530 (India Standard Time),Thu May 02 2024 12:23:33 GMT+0530 (India Standard Time),0,0,Used,Thu May 02 2024 12:23:00 GMT+0530 (India Standard Time),36
66333548cb4856.36999253,5,9,phishing,-50,0,Genuine,100,"Read the email and do nothing,","Based upon body of the email,,",NA,NA,Thu May 02 2024 12:24:08 GMT+0530 (India Standard Time),Thu May 02 2024 12:23:55 GMT+0530 (India Standard Time),Thu May 02 2024 12:24:37 GMT+0530 (India Standard Time),Thu May 02 2024 12:24:14 GMT+0530 (India Standard Time),0,0,Used,Thu May 02 2024 12:23:57 GMT+0530 (India Standard Time),20
66333548cb4856.36999253,4,10,phishing,50,0,Phishing,100,"Report this email,","Based upon body of the email,Based upon some other reason,private details are never asked for through emails.,",Halo Effect,Human,Thu May 02 2024 12:24:54 GMT+0530 (India Standard Time),Thu May 02 2024 12:24:56 GMT+0530 (India Standard Time),Thu May 02 2024 12:25:56 GMT+0530 (India Standard Time),Thu May 02 2024 12:25:45 GMT+0530 (India Standard Time),0,0,Used,Thu May 02 2024 12:26:02 GMT+0530 (India Standard Time),64
