consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2024-03-03 12:17:58",11731,65e413528c0d70.43245333,39,43,phishing,0,100,"Read the email and do nothing,Delete this email,","Based upon senders email address,Based upon the subject line in the email,,","Recency Effect",Human,"Sun Mar 03 2024 12:17:37 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:17:40 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:17:45 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:17:53 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:17:14",11730,65e413528c0d70.43245333,43,42,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,,","Halo Effect",Human,"Sun Mar 03 2024 12:17:07 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:17:08 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:17:11 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:17:13 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:16:40",11729,65e413528c0d70.43245333,38,41,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:16:24 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:16:26 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:16:31 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:16:34 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:16:04",11728,65e413528c0d70.43245333,42,40,phishing,18,99,"Read the email and do nothing,Delete this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:15:54 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:15:56 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:16:00 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:16:03 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:15:25",11727,65e413528c0d70.43245333,37,39,phishing,0,100,"Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Hyperbolic Discounting",Human,"Sun Mar 03 2024 12:15:08 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:15:10 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:15:19 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:15:24 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:15:01",11726,65e413528c0d70.43245333,40,38,genuine,100,100,"Read the email and do nothing,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:14:47 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:14:48 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:14:54 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:15:00 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:14:34",11725,65e413528c0d70.43245333,34,37,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:14:27 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:14:28 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:14:32 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:14:33 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:13:49",11724,65e413528c0d70.43245333,41,36,phishing,0,100,"Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Curiosity Effect",Human,"Sun Mar 03 2024 12:13:39 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:13:40 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:13:44 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:13:47 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:13:29",11723,65e413528c0d70.43245333,35,35,phishing,0,92,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Authority Bias",Human,"Sun Mar 03 2024 12:13:21 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:13:23 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:13:27 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:13:28 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2024-03-03 12:12:53",11722,65e413528c0d70.43245333,36,34,genuine,81,70,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Sun Mar 03 2024 12:12:37 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:12:40 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:12:44 GMT+0530 (India Standard Time)","Sun Mar 03 2024 12:12:52 GMT+0530 (India Standard Time)",0,0,"Not used",,
