id,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
662f3bc934a1c9.47922136,3,1,genuine,31,81,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 11:50:03 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:50:06 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:50:18 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:50:21 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,7,2,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon body of the email,,",NA,NA,Mon Apr 29 2024 11:51:04 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:51:06 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:51:11 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:51:20 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,6,3,phishing,23,27,Phishing,100,"Move to spam,","Based upon senders email address,,",Authority Bias,Human,Mon Apr 29 2024 11:51:56 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:51:58 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:52:03 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:52:09 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,9,4,genuine,50,100,Genuine,100,"Respond to this email,","Based upon senders email address,,",NA,NA,Mon Apr 29 2024 11:52:16 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:52:35 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:52:22 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:52:27 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,8,5,phishing,38,12,Phishing,62,"Move to spam,","Based upon senders email address,Based upon body of the email,,",Hyperbolic Discounting,Human,Mon Apr 29 2024 11:53:45 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:53:46 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:53:52 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:53:56 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,5,6,genuine,50,100,Genuine,100,"Read the email and do nothing,","Based upon senders email address,Based upon the date in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 11:54:07 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:54:09 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:54:21 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:54:25 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,2,7,genuine,-17,67,Phishing,81,"Click link/ Open attachment,","Based upon the date in the email,Based upon body of the email,,",Recency Effect,Human,Mon Apr 29 2024 11:55:01 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:55:03 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:55:09 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:55:25 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,1,8,genuine,50,100,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,,",NA,NA,Mon Apr 29 2024 11:55:34 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:55:36 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:55:38 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:55:51 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,10,9,genuine,-32,82,Phishing,100,"Read the email and do nothing,","Based upon senders email address,,",Curiosity Effect,Human,Mon Apr 29 2024 11:56:17 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:56:19 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:56:27 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:56:34 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,4,10,phishing,50,0,Phishing,100,"Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,,",Halo Effect,Human,Mon Apr 29 2024 11:57:15 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:57:16 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:57:20 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:57:34 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,17,11,genuine,-50,100,Phishing,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",Authority Bias,Human,Mon Apr 29 2024 11:57:46 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:57:49 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:58:11 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:58:17 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,15,12,genuine,37,87,Genuine,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 11:59:08 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:59:09 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:59:28 GMT+0530 (India Standard Time),Mon Apr 29 2024 11:59:33 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,14,13,genuine,39,89,Genuine,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:00:10 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:00:12 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:00:19 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:00:21 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,12,14,genuine,35,85,Genuine,100,"Respond to this email,","Based upon senders email address,,",NA,NA,Mon Apr 29 2024 12:00:33 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:00:34 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:00:36 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:00:40 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,21,15,genuine,-33,83,Phishing,100,"Respond to this email,Click link/ Open attachment,","Based upon senders email address,Based upon the date in the email,Based upon body of the email,,",Recency Effect,Human,Mon Apr 29 2024 12:01:04 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:01:05 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:01:14 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:01:18 GMT+0530 (India Standard Time),0,0,Not used,,
662f3bc934a1c9.47922136,18,16,phishing,44,6,Phishing,100,"Move to spam,","Based upon senders email address,Based upon the link/attachment in the email,,",Curiosity Effect,Human,Mon Apr 29 2024 12:01:56 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:01:57 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:02:10 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:02:18 GMT+0530 (India Standard Time),0,0,Not used,,
