consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2023-12-01 15:12:56",11415,6569a159661f31.25428346,43,43,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,","Halo Effect",Human,"Fri Dec 01 2023 15:12:45 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:12:46 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:12:52 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:12:55 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:12:27",11414,6569a159661f31.25428346,39,42,genuine,100,82,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,","Recency Effect",Human,"Fri Dec 01 2023 15:12:12 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:12:17 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:12:23 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:12:26 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:11:41",11413,6569a159661f31.25428346,34,41,genuine,100,100,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:11:27 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:11:28 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:11:34 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:11:40 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:11:18",11412,6569a159661f31.25428346,37,40,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,","Hyperbolic Discounting",Human,"Fri Dec 01 2023 15:11:00 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:11:01 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:11:12 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:11:17 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:10:53",11411,6569a159661f31.25428346,42,39,genuine,100,83,"Read the email and do nothing,","Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:10:39 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:10:40 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:10:48 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:10:52 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:10:10",11410,6569a159661f31.25428346,41,38,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Curiosity Effect",Human,"Fri Dec 01 2023 15:09:56 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:09:57 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:10:05 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:10:09 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:09:44",11409,6569a159661f31.25428346,40,37,genuine,100,100,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:09:32 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:09:33 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:09:38 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:09:44 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:09:24",11408,6569a159661f31.25428346,35,36,phishing,0,100,"Delete this email,","Based upon body of the email,,","Authority Bias",Human,"Fri Dec 01 2023 15:09:12 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:09:13 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:09:20 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:09:23 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:08:56",11407,6569a159661f31.25428346,38,35,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:08:27 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:08:30 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:08:42 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:08:55 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:08:16",11406,6569a159661f31.25428346,36,34,genuine,100,100,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 15:08:03 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:08:05 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:08:07 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:08:15 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 15:07:29",11405,6569a159661f31.25428346,28,33,phishing,0,100,"Read the email and do nothing,Respond to this email,Click link/ Open attachment,Move to spam,Delete this email,Report this email,","Based upon some other reason,100,","Attention check_3","Attention check_4","Fri Dec 01 2023 15:06:48 GMT+0530 (India Standard Time)","Fri Dec 01 2023 15:06:47 GMT+0530 (India Standard Time)",,"Fri Dec 01 2023 15:07:19 GMT+0530 (India Standard Time)",0,0,"Not used",,
