id+V1EA1:T1,quesno,ques_counter,ans,score,ansval,actualans,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
662f463eeeca12.81788745,6,1,genuine,33,80,Genuine,84,"Read the email and do nothing,","Based upon body of the email,,",Authority Bias,Human,Mon Apr 29 2024 12:36:31 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:36:33 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:36:35 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:36:40 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,4,2,genuine,-29,84,Genuine,90,"Read the email and do nothing,","Based upon the subject line in the email,Based upon body of the email,,",Halo Effect,Human,Mon Apr 29 2024 12:37:15 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:37:16 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:37:25 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:37:31 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,9,3,genuine,-37,83,Genuine,82,"Respond to this email,","Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:37:59 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:38:01 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:38:07 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:38:12 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,8,4,genuine,-28,89,Phishing,86,"Read the email and do nothing,","Based upon body of the email,,",Hyperbolic Discounting,Human,Mon Apr 29 2024 12:39:16 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:39:19 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:39:28 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:39:45 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,10,5,phishing,-49,0,Genuine,100,"Move to spam,","Based upon senders email address,Based upon body of the email,,",Curiosity Effect,Human,Mon Apr 29 2024 12:40:03 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:40:05 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:40:23 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:40:25 GMT+0530 (India Standard Time),0,0,Used,Mon Apr 29 2024 12:40:00 GMT+0530 (India Standard Time),77
662f463eeeca12.81788745,1,6,phishing,-41,17,Phishing,76,"Move to spam,","Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:41:00 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:41:01 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:41:05 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:41:07 GMT+0530 (India Standard Time),0,0,Used,Mon Apr 29 2024 12:40:46 GMT+0530 (India Standard Time),16
662f463eeeca12.81788745,7,7,genuine,39,79,Phishing,88,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:41:38 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:41:40 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:41:46 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:41:49 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,3,8,genuine,-40,87,Phishing,90,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:42:03 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:42:04 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:42:11 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:42:15 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,2,9,phishing,-42,22,Genuine,86,"Move to spam,","Based upon body of the email,,",Recency Effect,Human,Mon Apr 29 2024 12:42:51 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:42:53 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:42:56 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:42:59 GMT+0530 (India Standard Time),0,0,Used,Mon Apr 29 2024 12:42:44 GMT+0530 (India Standard Time),83
662f463eeeca12.81788745,5,10,genuine,-31,99,Phishing,100,"Read the email and do nothing,","Based upon the subject line in the email,Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:43:11 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:43:13 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:43:20 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:43:22 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,33,11,genuine,42,91,Phishing,91,"Read the email and do nothing,","Based upon body of the email,,",Halo Effect,Human,Mon Apr 29 2024 12:43:47 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:43:49 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:43:52 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:43:55 GMT+0530 (India Standard Time),0,0,Used,Mon Apr 29 2024 12:43:45 GMT+0530 (India Standard Time),30
662f463eeeca12.81788745,29,12,phishing,-42,11,Phishing,96,"Move to spam,","Based upon body of the email,,",Hyperbolic Discounting,Human,Mon Apr 29 2024 12:44:16 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:44:17 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:44:20 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:44:22 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,17,13,genuine,-35,90,Phishing,90,"Read the email and do nothing,","Based upon body of the email,,",Authority Bias,Human,Mon Apr 29 2024 12:44:40 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:44:42 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:44:45 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:44:49 GMT+0530 (India Standard Time),0,0,Not used,,
662f463eeeca12.81788745,14,14,phishing,47,8,Genuine,93,"Move to spam,","Based upon body of the email,,",NA,NA,Mon Apr 29 2024 12:45:01 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:45:03 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:45:10 GMT+0530 (India Standard Time),Mon Apr 29 2024 12:45:12 GMT+0530 (India Standard Time),0,0,Not used,,
