S.No.,Timestamp,id,mturk_id,Age,Gender,Education,Major
1,"2022-08-31 16:01:23",630f386c2d9a18.54833491,c2,18,F,Undergraduate,CS
2,"2022-08-31 16:01:56",630f386c2d9a18.54833491,c1,18,F,Masters,CS
3,"2022-08-31 16:03:19",630f38de589c93.66715079,c2,18,F,Other,"Computer Science"
4,"2022-08-31 16:05:42",630f396b1935f0.42143436,c2,18,F,Other,"Computer Science"
5,"2022-08-31 16:21:09",630f3d076642c8.03059486,c3,18,O,Undergraduate,df
6,"2022-08-31 16:24:03",630f3dbb95b8c6.81274570,Demo,18,F,Intermediate,df
7,"2022-08-31 16:47:59",630f4357cae268.50281255,c2,18,F,Undergraduate,"Computer Science"
8,"2022-09-01 09:28:28",63102dd32b5b81.30867739,Demo,18,M,Intermediate,CS
9,"2022-09-01 09:28:40",63102dd890dc39.23418715,A5LYLHG880ABE,34,M,Masters,Commerce
10,"2022-09-01 09:29:29",63102dfdcb1ec5.83038780,ASL9LVC97FUCZ,32,M,Undergraduate,manager
11,"2022-09-01 09:29:53",63102e03db2999.47025926,A3VHZF85DI6ZJ7,26,M,Undergraduate,MATHEMATICS
12,"2022-09-01 09:31:06",63102debba5c25.43127123,A2UC4H3EHIMWGC,29,F,Undergraduate,b.com
13,"2022-09-01 09:31:19",63102df32ef6e3.78618044,A1THGJ00ESO254,28,M,Undergraduate,tamil
14,"2022-09-01 09:33:45",63102ef8105740.40166745,A3D4CITR1C9L3W,25,F,Masters,"computer science"
15,"2022-09-01 09:36:52",63102fc1c524c7.55739606,AX93I6SR9SXFA,30,M,Undergraduate,"computer science"
16,"2022-09-01 09:37:47",63102fce9c36f1.72962083,A3G4EGFEFXNKCI,30,M,Undergraduate,"COMPUTER ENGINEERING"
17,"2022-09-01 09:41:11",631030b9d13121.86571777,A2UC4H3EHIMWGC,29,F,Undergraduate,b.com
18,"2022-09-01 09:50:31",631032d6bfee28.50394661,AVY23ACQCUC8L,28,M,Undergraduate,"computer science"
19,"2022-09-01 09:52:42",6310336b9822f7.56083556,A2ZB24AEN6N7Y3,30,M,Undergraduate,ACCOUNTANT
20,"2022-09-01 09:57:27",6310346470ed76.23917975,A1THGJ00ESO254,28,F,Undergraduate,tamil
21,"2022-09-01 09:58:03",631034984dd785.53153267,ALYQ3LDA8N6Z5,28,F,Undergraduate,yes
22,"2022-09-01 10:00:59",63103574318080.29533938,A2ZB24AEN6N7Y3,30,M,Undergraduate,ACCOUNTANT
23,"2022-09-01 10:03:11",631035d0606a56.41504161,A2X3QCJK0H18T8,30,F,Undergraduate,ACCOUNTANT
24,"2022-09-01 10:04:55",6310365e6288a7.55479178,A2ZB24AEN6N7Y3,30,M,Undergraduate,ACCOUNTANT
25,"2022-09-01 10:06:47",631036b1a7fb33.98220342,AJ8ORVSVTALUD,28,M,Undergraduate,B.SC
26,"2022-09-01 10:08:13",63103727af3602.55115410,A2ZB24AEN6N7Y3,30,M,Undergraduate,ACCOUNTANT
27,"2022-09-01 10:17:08",6310393f969f73.14403391,A2ZB24AEN6N7Y3,30,M,Undergraduate,ACCOUNTANT
28,"2022-09-01 10:17:49",63103961c9a7a2.48228446,A2X3QCJK0H18T8,30,F,Undergraduate,ACCOUNTANT
29,"2022-09-01 10:22:50",63103a6242a8a6.19930882,A2A9URTFBVNF4U,29,F,Masters,master
30,"2022-09-01 10:27:39",63103b76090c89.38484317,AS6MHZG61O997,28,F,High_School,"In academic, specialization (or "
31,"2022-09-01 10:28:36",63103b65978357.15646808,A2AZUVTO38W7JE,27,M,Undergraduate,"Bachelor of Business Administrat"
32,"2022-09-01 10:29:37",63103b7cbdda77.30404818,A2VBOWCA4Z7ZB6,25,F,Undergraduate,game
33,"2022-09-01 10:33:09",63103c8eb95337.96199122,A303MN1VOKQG5I,28,M,Undergraduate,educator
34,"2022-09-01 10:35:32",63103d60329945.32812506,A1SBFOZG5J97Z1,25,M,Undergraduate,"Computer science"
35,"2022-09-01 10:35:39",63103d76d3dfa0.90050312,A377PON9N4JZEY,25,M,Masters,"computer science"
36,"2022-09-01 10:36:11",63103d67ecbf78.82844726,A3TX7UUGA2KAAB,27,F,Undergraduate,B.E
37,"2022-09-01 10:37:01",63103c914590e7.01004714,A1OZ5JKX17X1W9,25,M,Masters,edcator
38,"2022-09-01 10:37:12",63103de50cec08.79575070,AT5J03NQ99XNP,30,M,Undergraduate,"COMPUTER  ENGINEERING"
39,"2022-09-01 10:38:47",63103d6b2fb0c9.86980940,A36LPIFH0MEX7,28,M,Undergraduate,ENGLISH
40,"2022-09-01 10:45:59",63103fd943abb4.42320948,AAPRQ5DHT6X2R,28,M,Undergraduate,"A specialization is a focused ar"
