consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2022-08-31 16:02:12",1,630f386c2d9a18.54833491,1,0,genuine,77,73,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,"Wed Aug 31 2022 16:02:05 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:02:07 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:02:08 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:02:09 GMT+0530 (India Standard Time)",0,0,NULL,NULL,NULL
true,"2022-08-31 16:02:19",2,630f386c2d9a18.54833491,2,0,genuine,77,76,"Read the email and do nothing,","Based upon senders email address,,","Recency Effect",Human,"Wed Aug 31 2022 16:02:13 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:02:14 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:02:15 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:02:16 GMT+0530 (India Standard Time)",0,0,NULL,NULL,NULL
true,"2022-08-31 16:03:29",3,630f38de589c93.66715079,1,0,genuine,75,75,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,"Wed Aug 31 2022 16:03:24 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:03:24 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:03:26 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:03:26 GMT+0530 (India Standard Time)",0,1,NULL,NULL,NULL
true,"2022-08-31 16:06:10",4,630f396b1935f0.42143436,1,0,genuine,75,74,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,"Wed Aug 31 2022 16:06:01 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:02 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:04 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:05 GMT+0530 (India Standard Time)",0,1,NULL,NULL,NULL
true,"2022-08-31 16:06:17",5,630f396b1935f0.42143436,2,0,genuine,68,69,"Read the email and do nothing,","Based upon senders email address,,","Recency Effect","GPT-3 Temp0.3_TopP_0.8","Wed Aug 31 2022 16:06:11 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:12 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:13 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:15 GMT+0530 (India Standard Time)",0,1,NULL,NULL,NULL
true,"2022-08-31 16:06:27",6,630f386c2d9a18.54833491,3,0,genuine,62,62,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,"Wed Aug 31 2022 16:06:20 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:21 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:23 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:24 GMT+0530 (India Standard Time)",0,0,NULL,NULL,NULL
true,"2022-08-31 16:06:38",7,630f396b1935f0.42143436,3,0,genuine,81,57,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,"Wed Aug 31 2022 16:06:30 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:32 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:33 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:06:35 GMT+0530 (India Standard Time)",0,1,NULL,NULL,NULL
true,"2022-08-31 16:07:24",8,630f396b1935f0.42143436,4,0,genuine,74,62,"Read the email and do nothing,","Based upon senders email address,,","Halo Effect","GPT-3 Temp0.3_TopP_0.8","Wed Aug 31 2022 16:07:09 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:13 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:19 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:21 GMT+0530 (India Standard Time)",0,1,NULL,NULL,NULL
true,"2022-08-31 16:07:32",9,630f396b1935f0.42143436,5,0,genuine,69,67,"Read the email and do nothing,","Based upon senders email address,,",NA,NA,"Wed Aug 31 2022 16:07:26 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:27 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:29 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:30 GMT+0530 (India Standard Time)",0,1,NULL,NULL,NULL
true,"2022-08-31 16:07:43",10,630f396b1935f0.42143436,6,0,genuine,77,71,"Read the email and do nothing,","Based upon senders email address,,","Authority Bias","GPT-3 Temp0.3_TopP_0.8","Wed Aug 31 2022 16:07:33 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:37 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:38 GMT+0530 (India Standard Time)","Wed Aug 31 2022 16:07:39 GMT+0530 (India Standard Time)",0,1,NULL,NULL,NULL
