S.No.,sender_address,subject,Date,Body,"Cognitive Bias",Generation,Phishing,Phase
1,"Blackboard praney@blackboad.com","Important New Course Form","Sunday, October 18, 2020, 4:16:11 PM","Dear Lily,<br><br>This is to inform you that you have an important course and regarding your next coming session.<br>Kindly sign in immediately to view the form.<br><br><b><a href="research.in.the.cloud.edu.mx/online-survey" target=_blank" rel="noopener noreferrer" onclick="return func(0)">Click here</a></b> to sign in","Authority Bias",Human,1,"Phase 3"
2,"Venmo 3b58eeigec9oupfpm9f9@streackvieuw.com","$500 Venmo balance needs confirmation","Thursday, August 26, 2021, 4:17:54 PM","venmo<br>Congratulation $500.00 has been sent to lily67@gmail.com Complete the necessary steps to finish the process <a href="https://www.venmoo.com/accepat/?href=va%2Fr%2FH%2Fx%2FSxF%2Fvlv8WGL%2FfjZOR7%2FX%2FXa7LyWA2" target="_blank" rel="noopener noreferrer" onclick="return func(0)">ACCEPT MONEY</a><br><br>This email was sent for lily67@gmail.com","Hyperbolic Discounting",Human,1,"Phase 3"
3,mars.beacon@gmail.com,"*Two moons on 27 August*","Monday, August 12, 2019, 10:08:24 AM","27th Aug the Whole World is waiting for.............*<br><br>Planet Mars will be the brightest in the night sky starting August<br>and will look as large as the full moon to the naked eye. This will<br>be on Aug. 27 when Mars comes within 34.65M miles of earth.<br><br>Be sure to watch the sky on Aug. 27. If not, a few days before & after<br>should be OK. It will look as<br>if the Earth has 2 moons. The next time Mars may come this close is in 2287.<br><br><a href="http://marsbecon.eregazziti.com/mail.exe" target=_blank" rel="noopener noreferrer" onclick="return func(0)">Share</a> this with your friends as NONE of us will be ALIVE to see it again<br>","Recency Effect",Human,1,"Phase 3"
4,"COCA-COLA COMPANY cococola@cantv.net","COCA-COLA COMPANY PRIZE REDEMPTION CENTRE OPENS ATTACHMENT EMAIL US BACK","Friday, February 1, 2019, 11:21:50 AM","KINDLY VIEW THE ATTACHMENTS<br><br><center><b><a href="https://www.thecoca-colaacompany.com/apply/pp.exe" target="_blank" rel="noopener noreferrer" onclick="return func(0)">.Prize.pdf</a></b></center>","Curiosity Effect",Human,1,"Phase 3"
5,apple@applesupport.com,"Apple Facetime Information Disclosure","Friday, April 30, 2021, 11:51:48 AM","<h3><strong><center>National Security Department</center></strong></h3><br><br>A vulnerability has been identified in the Apple Facetime mobile applications that allow an attacker to record calls and videos from your mobile device without your knowledge.<br><br>We have created a website for all citizens to verify if their videos and calls have been made public.<h3><br>To perform the verification, please use the following link:<h3><br><b><center><a href="https://goo.bitly/g/national-security-department/" target="_blank" rel="noopner noreferrer" onclick="return func(0)">Facetime Verification</a></center></b><br><br><br>This website will be available for 72 hours.<br><br>National Security Department","Halo Effect",Human,1,"Phase 3"
6,rndoffice@iitmtaarhus.ac.in,"No dues certificate","Wednesday, April 13, 2022, 02:20:38 PM","Dear Lily,<br><br>Please find the attached experience certificate.<br><br>With best regard,<br>R&D Office<brIITMT Aarhus<br><br>E-mail: <a href="rndoffice@iitmtaarhus.ac.in" target=_blank" rel="noopener noreferrer" onclick="return func(0)">rndoffice@iitmtaarhus.ac.in</a><br> Web: <a href="https://www.iitmtaarhus.ac.in/index.php?pid=nav_research" target=_blank" rel="noopener noreferrer" onclick="return func(0)">https://www.iitmtaarhus.ac.in/index.php?pid=nav_research</a><br><br><center>Experience Certificate (Lily)<br><a href="https://drive.google.com/file/d/1TyFQ1ZVVAYTV88KyyLsf4Nc3p5YuQiG8/view?usp=sharing" target=_blank" rel="noopener noreferrer"onclick="return func(0)">Click Here</a></center>",NA,NA,0,"Phase 3"
7,"hostinger.in support@hostinger.com","Re: Re: Service suspended: Hosting - [JFT-BTZSB-217]","Saturday, November 20, 2021, 11:29:55 PM","Hello Lily,<br><br>This specific account was suspended for more than 30 days and unfortunately you didn't contact us to resolve the issue in time.
System automatically deletes accounts that are suspended for that long.<br><br>I'm afraid it's not possible to re-enasble it.<br><br>Regards,<br>Panos A.<br>Customer Success team<br><br><a href="http://www.hostinger.in" target=_blank" rel="noopener noreferrer" onclick="return func(0)">http://www.hostinger.in</a><br><br>P.S. In case you need help or tips, check out our Tutorials at <a href="http://www.hostinger.com/tutorials/" target=_blank" rel="noopener noreferrer" onclick="return func(0)">http://www.hostinger.com/tutorials/</a>",NA,NA,0,"Phase 3"
8,"GATE 2021 noreply@iitb.ac.in","GATE 2021 Enrolment ID","Friday, September 11, 2020, 7:03:23 PM","Dear Lily,<br><br>Your email address lily.27@gmail.com has been registered in the GATE Online Application Processing System (GOAPS).<br><br>Accordingly an Enrollment ID is generated for you as the following:<br><br>Enrollment ID: B101D7553<br><br>Remember this ID for login and for all GATE 2021 related communications/checking various status messages related to GATE 2021.<br><br>OTP for email verification is E678E2. Please verify your email address while filling the application form. It is mandatory to verify email address before application form submission.<br>In case you have received this message without registration you may ignore this mail.<br><br>GATE 2021 Admin",NA,NA,0,"Phase 3"
9,"Library Daiict library@daiict.ac.in","New Arrivals@RC","Saturday, May 28, 2022, 10:24:45 AM","Hello,<br><br>Greetings.<br><br>Here is the link to the <a href="http://resourcecentre.daiict.ac.in/cas/alert.html" target=_blank" rel="noopener noreferrer" onclick="return func(0)">list of New Arrivals</a> on display at RC.<br>You are welcome to visit the RC to browse and read these books.<br>The newly added books will be available for issue from 01 June 2022.<br><br>You may reserve the book by logging onto the <a href="https://opac.daiict.ac.in/" target=_blank" rel="noopener noreferrer" onclick="return func(0)">online book catalogue</a>.<br><br><br>With regards<br><br>RC Team<br>DA-IICT",NA,NA,0,"Phase 3"
10,"Jovian events newsletter@jovian.email","Attend the Graduation Day of our Data Science Bootcamp on Sun, July 03","Tuesday, June 14, 2022, 3:56:07 PM","Hi Lily, <br><br>You are cordially invited to attend the Graduation Day for the October 2021 batch of our Data Science & Machine Learning Bootcamp. The event will be held on Sun, July 03, 2022, at 8:00 PM IST.<br><br>Graduates will present the projects they've worked on during the Bootcamp to an audience consisting of industry experts, data science recruiters, and the Jovian community.<br><br><b>Graduation Day</b><br>Agenda:<br>1. Introduction - 15 minutes<br>2.Participant Presentations - 45-60 minutes<br>3. Closing Remarks - 15 minutes<br><br>Join us to congratulate the graduates and celebrate the fantastic work done by the Jovian community.<br>
<br><button style= "background-color: #2B65EC; border: none; color: #F8F8FF; padding: 15px 32px; text-align: center; text-decoration: none; display: inline-block; font-size: 16px; font-color:white"><a href="https://jovian.ai/events/october-2021-batch-graduation-day-jovian-data-science-bootcamp" target=_blank" rel="noopener noreferrer" style="color: white; font-size: 16px;" onclick="return func(0)"><b>Register to Attend</b></a></button><br><br><i>PS: The new batch of Data Science & Machine Learning Bootcamp is starting soon. Learn more and apply at  https://www.jovian.ai</i><br><br>Regards,<br>Jovian Team",NA,NA,0,"Phase 3"
