consent,timestamp,sno,id,quesno,ans,Cognitive_bias
true,"2023-01-13 13:23:15",9665,63c10d9d9ced31.97396136,1,2,"Authority Bias"
true,"2023-01-13 13:23:20",9666,63c10d9d9ced31.97396136,2,4,"Authority Bias"
true,"2023-01-13 13:23:22",9667,63c10d9d9ced31.97396136,3,2,"Authority Bias"
true,"2023-01-13 13:23:25",9668,63c10d9d9ced31.97396136,4,4,"Authority Bias"
true,"2023-01-13 13:23:28",9669,63c10d9d9ced31.97396136,5,2,"Curiosity Effect"
true,"2023-01-13 13:23:31",9670,63c10d9d9ced31.97396136,6,4,"Curiosity Effect"
true,"2023-01-13 13:23:35",9671,63c10d9d9ced31.97396136,7,4,"Curiosity Effect"
true,"2023-01-13 13:23:37",9672,63c10d9d9ced31.97396136,8,2,"Curiosity Effect"
true,"2023-01-13 13:23:41",9673,63c10d9d9ced31.97396136,9,4,"Halo Effect"
true,"2023-01-13 13:23:46",9674,63c10d9d9ced31.97396136,10,2,"Halo Effect"
true,"2023-01-13 13:23:50",9675,63c10d9d9ced31.97396136,11,2,"Halo Effect"
true,"2023-01-13 13:23:53",9676,63c10d9d9ced31.97396136,12,4,"Halo Effect"
true,"2023-01-13 13:23:58",9677,63c10d9d9ced31.97396136,13,4,"Halo Effect"
true,"2023-01-13 13:24:01",9678,63c10d9d9ced31.97396136,14,2,"Hyperbolic Discounting"
true,"2023-01-13 13:24:06",9679,63c10d9d9ced31.97396136,15,4,"Hyperbolic Discounting"
true,"2023-01-13 13:24:09",9680,63c10d9d9ced31.97396136,16,2,"Hyperbolic Discounting"
true,"2023-01-13 13:24:12",9681,63c10d9d9ced31.97396136,17,2,"Hyperbolic Discounting"
true,"2023-01-13 13:24:22",9682,63c10d9d9ced31.97396136,18,4,"Recency Effect"
true,"2023-01-13 13:24:27",9683,63c10d9d9ced31.97396136,19,3,"Recency Effect"
true,"2023-01-13 13:24:30",9684,63c10d9d9ced31.97396136,20,3,"Recency Effect"
true,"2023-01-13 13:24:35",9685,63c10d9d9ced31.97396136,21,2,"Recency Effect"
true,"2023-01-13 14:12:40",9686,63c118e1e958a5.98529353,1,4,"Authority Bias"
true,"2023-01-13 14:12:57",9687,63c118e1e958a5.98529353,2,4,"Authority Bias"
true,"2023-01-13 14:13:10",9688,63c118e1e958a5.98529353,3,2,"Authority Bias"
true,"2023-01-13 14:13:21",9689,63c118e1e958a5.98529353,4,2,"Authority Bias"
true,"2023-01-13 14:13:31",9690,63c118e1e958a5.98529353,5,4,"Curiosity Effect"
true,"2023-01-13 14:13:38",9691,63c118e1e958a5.98529353,6,4,"Curiosity Effect"
true,"2023-01-13 14:13:56",9692,63c118e1e958a5.98529353,7,4,"Curiosity Effect"
true,"2023-01-13 14:14:02",9693,63c118e1e958a5.98529353,8,4,"Curiosity Effect"
true,"2023-01-13 14:14:12",9694,63c118e1e958a5.98529353,9,2,"Halo Effect"
true,"2023-01-13 14:14:20",9695,63c118e1e958a5.98529353,10,4,"Halo Effect"
true,"2023-01-13 14:14:31",9696,63c118e1e958a5.98529353,11,2,"Halo Effect"
true,"2023-01-13 14:22:11",9697,63c11b844d3d11.63574960,1,2,"Authority Bias"
